district,prop_d,dem_pres_2004,dem_pres_2000,dem_inc,contested,open
1,0.692132686144328,0.608814057686922,0.571493200859571,1,1,0
2,0.336723351204623,0.370778368421434,0.352762467841953,0,1,0
3,0.389447504947318,0.411985355599751,0.429666927336855,0,1,0
4,0.480760714461448,0.378874550636628,0.377565924094199,0,1,0
5,0.749258047972558,0.617120974966284,0.63326814742386,1,1,0
6,0.718502232368785,0.714259533687433,0.672412236483741,1,1,0
7,1,0.678415028504463,0.6837781635916,1,0,0
8,0.882937811404318,0.857474689616154,0.839153506809028,1,1,0
9,0.887826055842467,0.872373059841582,0.85399129442119,1,1,0
10,0.661031242003396,0.591365524946755,0.572207960179506,1,1,0
11,0.536074772849673,0.456382249128363,0.457968393403092,0,1,0
12,0.757438277385833,0.724263262398618,0.700082567948314,1,1,0
13,0.747557890494989,0.717221477700939,0.693861092824226,1,1,0
14,0.743856007626817,0.693868253793306,0.647054653422407,1,1,0
15,0.722004064057916,0.63669653873343,0.62485614498584,1,1,0
16,0.725582076438717,0.64116459190716,0.657297712120485,1,1,0
17,0.769040220190003,0.665207066784506,0.644500431977734,1,1,0
18,0.654628571428571,0.49877126831373,0.544761665023459,1,1,0
19,0.39723783978955,0.382525323699398,0.40261589151716,0,1,0
20,1,0.510861501671336,0.556486403204684,1,0,0
21,0.312408051357496,0.339946899580656,0.377461497978752,0,1,0
22,0.291504447876112,0.313212139651632,0.341911661864668,0,1,1
23,0.647181511106117,0.591388485339797,0.569516746297749,1,1,0
24,0.384628403791184,0.435979611667036,0.444075816280989,0,1,0
25,0.370923232194908,0.404161790551452,0.429839386941004,0,1,0
26,0.398685821920789,0.442042394427645,0.451729314253025,0,1,0
27,0.686907982443147,0.601791080547925,0.624050895954219,1,1,0
28,0.793920410351279,0.71805168097794,0.753430721558212,1,1,0
29,0.697761133799293,0.62111113129075,0.601170155987231,1,1,0
30,0.728033107584245,0.668846732180015,0.710154017204883,1,1,0
31,1,0.78096310993039,0.803961196443007,1,0,0
32,1,0.629879398833956,0.681254646511134,1,0,0
33,1,0.838784705664821,0.860189847106102,1,0,0
34,0.765313799809775,0.697765588720261,0.737348935353923,1,1,0
35,1,0.797954526038298,0.82864038616251,1,0,0
36,0.663974472705125,0.598248101462505,0.596031380629162,1,1,0
37,1,0.744959462973031,0.779047248849494,1,0,0
38,0.752016940179989,0.660298041740703,0.714963299115625,1,1,0
39,0.657157004646911,0.592400242361291,0.637212462389595,1,1,0
40,0.31289604866646,0.389763277439896,0.419906460809216,0,1,0
41,0.327698006703122,0.374007202097893,0.421966660272009,0,1,0
42,0,0.372883932711531,0.397581786182621,0,0,0
43,0.642792621781193,0.588279444877776,0.650183926361648,1,1,0
44,0.384512153130325,0.403566388710712,0.452004625023528,0,1,0
45,0.406012012529816,0.434586928925874,0.476636035463011,0,1,0
46,0.380658904193178,0.422433187130988,0.432327151332422,0,1,0
47,0.617663603975248,0.492769443116311,0.576321574171807,1,1,0
48,0.382947471497517,0.408937742019755,0.405887919011663,0,1,0
49,0.348835208833488,0.368197188940287,0.398205044425941,0,1,0
50,0.449961274889462,0.442730092935706,0.440768501766176,0,1,1
51,0.689851687022363,0.538477268813501,0.58375918509371,1,1,0
52,0.329251963209197,0.380625548780701,0.408056628908545,0,1,0
53,0.692588557905413,0.619190849396314,0.605601155794053,1,1,0
